"Pinto
(11)",Mustang (10),,"Bronco
(8)","Shetland
(14)","Pony
(2)",Release,,,,"Insufficient
Fields",,Not Used & Not Released
,,,,,,,,,,,,
Date,Day,Setup - Ready Time,Start - End Time,Facility/Equipment/Instructor,Permit#,Division,Count,Slots,Sum,Needs,,Release
"Mar 22, 2023",Wed,,06:00 PM - 07:30 PM,Walt Hundley Playfield Ballfield 02,R108572,Bronco,,1,8,8,,
"Mar 22, 2023",Wed,,05:00 PM - 07:30 PM,Pee Wees,,Pinto,,4,,,,
"Mar 22, 2023",Wed,,05:30 PM - 07:30 PM,Lincoln Park Ballfield 01,R108576,Pinto,,1,,,,
"Mar 22, 2023",Wed,,05:45 PM - 07:45 PM,Delridge Playfield Ballfield 01 (SW),R108579,Pinto,,4,,,"Need to split the time into 2 1hr practices, 2 teams each",
"Mar 22, 2023",Wed,,05:45 PM - 07:00 PM,Delridge Playfield Ballfield 02 (NE),R108571,Pinto,,2,11,11,,
"Mar 23, 2023",Thu,,05:30 PM - 07:30 PM,Lincoln Park Ballfield 01,R108576,Pony,,1,,,,
"Mar 23, 2023",Thu,,06:30 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,Pony,,1,2,2,,
"Mar 23, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108571,Mustang,,2,,,Split,
"Mar 23, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108572,Mustang,,2,,,Split,
"Mar 23, 2023",Thu,,05:15 PM - 06:30 PM,Delridge Playfield Ballfield 01 (SW),R108581,Mustang,,2,,,,
"Mar 23, 2023",Thu,,05:30 PM - 07:30 PM,Pee Wees,,Mustang,,4,10,10,,
"Mar 24, 2023",Fri,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 02,R108572,Bronco,,1,,,,
"Mar 24, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108572,Bronco,,1,,,,
"Mar 24, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108572,Bronco,,1,,,,
"Mar 24, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108572,Bronco,,1,,,,
"Mar 24, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108572,Bronco,,1,,,,
"Mar 24, 2023",Fri,,05:30 PM - 07:30 PM,Lincoln Park Ballfield 01,R108576,Bronco,,1,,,,
"Mar 24, 2023",Fri,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,Bronco,,2,8,8,Split,
"Mar 24, 2023",Fri,,07:00 PM - 09:00 PM,Sealth HS Complex Utility Field Lower,R108572,,,,,,,X
"Mar 24, 2023",Fri,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,,,,,,,X
"Mar 25, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,X
"Mar 25, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,X
"Mar 25, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,X
"Mar 25, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,X
"Mar 25, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 02,R108571,,,,,,,X
"Mar 25, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 01,R108576,,,,,,,X
"Mar 25, 2023",Sat,,09:00 AM - 06:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,X
"Mar 25, 2023",Sat,,12:00 PM - 04:30 PM,Sealth HS Complex Utility Field Lower,R108572,,,,,,,X
"Mar 25, 2023",Sat,,02:00 PM - 04:00 PM,Sealth HS Complex Softball Lower,R108572,,,,,,,X
"Mar 26, 2023",Sun,,09:00 AM - 12:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,X
"Mar 26, 2023",Sun,,09:00 AM - 01:00 PM,Riverview Playfield Ballfield 01,R108572,,,,,,,X
"Mar 26, 2023",Sun,,09:00 AM - 01:00 PM,Riverview Playfield Ballfield 03,R108572,,,,,,,X
"Mar 26, 2023",Sun,,09:00 AM - 01:00 PM,Riverview Playfield Ballfield 02,R108572,,,,,,,X
"Mar 26, 2023",Sun,,09:00 AM - 01:00 PM,Riverview Playfield Ballfield 04,R108572,,,,,,,X
"Mar 26, 2023",Sun,,09:00 AM - 02:00 PM,Sealth HS Complex Softball Upper,R108572,,,,,,,X
"Mar 27, 2023",Mon,,05:00 PM - 07:30 PM,Pee Wees,,Pinto,,4,,,,
"Mar 27, 2023",Mon,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,Pinto,,4,,,Split,
"Mar 27, 2023",Mon,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 02,R108572,Pinto,,1,,,,
"Mar 27, 2023",Mon,,05:30 PM - 07:30 PM,Lincoln Park Ballfield 01,R108577,Pinto,,1,,,,
"Mar 27, 2023",Mon,,05:15 PM - 07:45 PM,Riverview Playfield Ballfield 01,R108572,Pinto,,2,12,11,Split,
"Mar 27, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,Bronco,,2,,,Split,
"Mar 27, 2023",Mon,,05:15 PM - 07:45 PM,Riverview Playfield Ballfield 03,R108572,Bronco,,2,,,Split,
"Mar 27, 2023",Mon,,05:15 PM - 07:45 PM,Riverview Playfield Ballfield 04,R108572,Bronco,,2,,,Split,
"Mar 27, 2023",Mon,,07:00 PM - 09:00 PM,Sealth HS Complex Utility Field Lower,R108572,Bronco,,1,,,,
"Mar 27, 2023",Mon,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,Bronco,,1,8,8,,
"Mar 28, 2023",Tue,,06:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,Pony,,1,,,,
"Mar 28, 2023",Tue,,07:00 PM - 07:45 PM,Sealth HS Complex Utility Field Lower,R108572,Pony,,1,2,2,,
"Mar 28, 2023",Tue,,05:00 PM - 07:30 PM,Pee Wees,,Mustang,,4,,,,
"Mar 28, 2023",Tue,,05:45 PM - 06:45 PM,Delridge Playfield Ballfield 01 (SW),R108581,Mustang,,2,,,Split,
"Mar 28, 2023",Tue,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 01,R108579,Mustang,,1,,,,
"Mar 28, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108572,Mustang,,1,,,,
"Mar 28, 2023",Tue,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108572,Mustang,,1,,,,
"Mar 28, 2023",Tue,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,Mustang,,1,10,10,,
"Mar 29, 2023",Wed,,05:45 PM - 07:45 PM,Delridge Playfield Ballfield 01 (SW),R108581,Bronco,,2,,,Split,
"Mar 29, 2023",Wed,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 02 (NE),R108574,Bronco,,2,,,Split,
"Mar 29, 2023",Wed,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,Bronco,,2,,,Split,
"Mar 29, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,Bronco,,2,8,8,Split,
"Mar 29, 2023",Wed,,05:00 PM - 07:30 PM,Pee Wees,,Pinto,,4,,,,
"Mar 29, 2023",Wed,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108576,Pinto,,2,,,,
"Mar 29, 2023",Wed,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 02,R108574,Pinto,,1,,,,
"Mar 29, 2023",Wed,,05:30 PM - 07:30 PM,Lincoln Park Ballfield 01,R108577,Pinto,,1,8,11,,
"Mar 30, 2023",Thu,,06:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,Pony,,2,2,2,Split,
"Mar 30, 2023",Thu,,05:45 PM - 06:45 PM,Delridge Playfield Ballfield 01 (SW),R108581,Mustang,,2,,,,
"Mar 30, 2023",Thu,,05:00 PM - 07:30 PM,Pee Wees,,Mustang,,4,,,,
"Mar 30, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,Mustang,,1,,,,
"Mar 30, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,Mustang,,1,,,,
"Mar 30, 2023",Thu,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,Mustang,,1,,,,
"Mar 30, 2023",Thu,,05:30 PM - 07:30 PM,Lincoln Park Ballfield 01,R108577,Mustang,,1,10,10,,
,,,,Start of Games! (Minus Shetland),,,,,,,,
"Mar 31, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108574,Bronco,,2,,,,
"Mar 31, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 03,R108574,Bronco,,2,,,,
"Mar 31, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,Bronco,,2,,,,
"Mar 31, 2023",Fri,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 04,R108574,Bronco,,2,8,8,,
"Mar 31, 2023",Fri,,05:00 PM - 07:30 PM,Lincoln Park Ballfield 02,R108574,,,,,,,X
"Mar 31, 2023",Fri,,05:30 PM - 07:30 PM,Lincoln Park Ballfield 01,R108577,,,,,,,X
"Mar 31, 2023",Fri,,05:45 PM - 08:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,X
